,Title,Ingredients,Instructions,Image_Name,Price
10,Strawberry Shortcakes with Balsamic and Black Pepper Syrup,"2 cups unbleached all purpose flour, 5 tablespoons sugar, divided, 2 1/2 teaspoons baking powder, 1/4 teaspoon salt, 1/2 cup (1 stick) chilled unsalted butter, cut into 1/2-inch cubes, 1 cup chilled heavy whipping cream, 1 large egg, beaten to blend (for glaze), 2 pounds fresh strawberries (about 8 cups), hulled, quartered if small, sliced if large, 6 tablespoons sugar, divided, 3 tablespoons balsamic vinegar, 1 large pinch of freshly ground black pepper, 1 cup chilled heavy whipping cream, 1 teaspoon vanilla extract","Position rack in center of oven and preheat to 425°F. Line baking sheet with parchment paper. Place flour, 4 tablespoons sugar, baking powder, and salt in processor. Using on/off turns, process to blend. Add butter; cut in using on/off turns until butter resembles large peas, about five 1-second intervals. Add cream; using on/off turns, process until moist clumps form. Transfer dough to lightly floured work surface. Gather dough into ball; flatten into 8 x 4-inch rectangle (about 1 1/4 inches thick). Cut lengthwise in half, then crosswise into 4 equal strips, forming 8 square biscuits. Transfer biscuits to prepared baking sheet and chill 20 minutes. DO AHEAD: Can be made 1 day ahead. Cover and keep chilled.
Brush top of biscuits with egg glaze; sprinkle with remaining 1 tablespoon sugar. Bake until biscuits are golden brown and tester inserted horizontally comes out clean, about 15 minutes. Transfer to rack and cool. DO AHEAD: Can be made 8 hours ahead. Let stand at room temperature.
Mix strawberries, 5 tablespoons sugar, vinegar, and black pepper in medium bowl. Let macerate 30 minutes, stirring occasionally.
Using electric mixer, beat cream, vanilla, and remaining 1 tablespoon sugar in another medium bowl until peaks form.
Cut biscuits horizontally in half. Place bottom half of each biscuit, cut side up, on plate. Using slotted spoon, divide strawberries among biscuits. Spoon dollop of whipped cream atop strawberries. Cover each with top half of biscuit. Drizzle some of juices from strawberries around shortcakes.",strawberry-shortcakes-with-balsamic-and-black-pepper-syrup-359412,17.73
11,Truffled Bay Scallops with Celery Purée,"1 cup chicken stock or reduced-sodium chicken broth, 1 1/2 cups thinly sliced celery (about 3 ribs), 1/2 cup chopped peeled potato, 1/4 cup finely chopped onion, 1/2 cup flat-leaf parsley sprigs, 1 lb bay scallops (preferably Nantucket Bay), tough ligament removed from side of each if attached, 1 Tbsp vegetable oil, 3 Tbsp black truffle butter, softened, Garnish: chopped celery leaves","Simmer broth, celery, potato, onion, and 1/4 tsp salt in a small heavy saucepan, covered, stirring occasionally, until vegetables are tender, about 15 minutes. Add parsley and cook, uncovered, 1 minute. Purée mixture in a blender until very smooth (use caution when blending hot liquids). Keep warm in saucepan.
Pat scallops dry and season with 1/4 tsp salt and 1/8 tsp pepper. Heat oil in a 12-inch heavy nonstick skillet over medium-high heat until it shimmers, then sauté scallops until barley cooked through, 2 to 3 minutes. Add truffle butter and stir until melted, then transfer scallops with a slotted spoon to a bowl. Stir celery purée into truffle butter in skillet. Spoon onto plates, then mound scallops in center and sprinkle with celery leaves.
Purée (without truffle butter) can be made 1 day ahead and chilled. Reheat in a microwave or in a saucepan over low heat before stirring into truffle butter.",truffled-bay-scallops-with-celery-puree,22.76
12,Braised Beef Cheeks,"4 tablespoons extra-virgin olive oil, 4 (12-oz) beef cheeks, trimmed of excess fat, 1 medium onion, finely chopped, 1 medium carrot, finely chopped, 1/2 celery rib, finely chopped, 1/2 teaspoon unsweetened cocoa powder, 2 cups red wine (preferably a dry Lambrusco or Chianti), 1 (28- to 32-oz) can whole tomatoes including juice, chopped (3 cups), 1 1/2 teaspoons salt, 1 teaspoon black pepper","Heat 2 tablespoons oil in an ovenproof 6-quart wide heavy pot over moderately high heat until hot but not smoking. While oil is heating, pat beef cheeks dry and season with salt and pepper. Brown beef, without crowding, on all sides, about 20 minutes total, and transfer with tongs to a bowl. Pour off fat from pot, then add remaining 2 tablespoons oil and cook onion, carrot, and celery over moderately low heat, stirring occasionally, until softened, about 10 minutes.
Preheat oven to 325°F.
Stir cocoa powder into vegetable mixture, then add wine and scrape up any brown bits. Increase heat to high and boil until liquid is reduced by half, about 10 minutes.
Return cheeks (with any juices) to pot and add tomatoes with juice, salt, and pepper. Bring to a simmer, then braise, covered, in middle of oven until very tender, about 3 hours.",braised-beef-cheeks-107803,21.87
13,Curried Shrimp,"1 large baking potato, peeled and chopped into ½-inch pieces, 1 tbsp canola oil, 2 tbsp curry powder, 1/2 cup thinly sliced onion, 1 1/2 lb large shrimp, shelled and deveined, 1 green bell pepper, cored, seeded and cut into thin strips, 1 mango, cut into thin strips, 1 cup light coconut milk, 2 tbsp fish sauce, 1/2 tsp sriracha, 1 tsp sugar, 1/3 cup chopped fresh basil","Sprinkle potato pieces with 1 tbsp water; microwave, covered, until fork-tender, 3 minutes. Heat oil and curry powder in a large skillet over medium heat. Cook onion until soft, 3 to 4 minutes. Push onion to side of skillet. Add shrimp; cook 2 minutes per side. Stir in potatoes and bell pepper; cook until pepper softens, 1 to 2 minutes. Add mango, coconut milk, fish sauce, sriracha and sugar. Simmer 2 minutes. Remove from heat; add basil.",curried-shrimp-242325,10.84
14,Shrimp And Fava Beans,"1 cup kosher salt, plus more for seasoning, 3 pounds whole fava pods, about 1 1/2 cups beans after shelling, 4 tablespoons (1/2 stick) unsalted butter, cut into small pieces, 1 1/2 pounds medium shrimp, peeled and deveined, Freshly ground black pepper, Juice of 1 lemon, 1/2 cup fruity white wine, 1 or 2 radishes, thinly sliced, Flat-leaf parsley leaves for garnish","Set a large pot on the stove. Put in 1 gallon water and 1 cup kosher salt. Bring to a boil. Ready a large bowl of ice water.
Tear open the fava pods and remove the beans, discarding the outer pods. Place the beans in the boiling water for 1 to 2 minutes, then remove with a slotted spoon and transfer to a bowl of ice water to stop the cooking. When cooled, remove the outer hull of each bean and place the shelled beans in a bowl, discarding the hulls. Set aside.
Place the butter and the shrimp in a wide skillet and set on the stove. Turn the heat to the lowest setting and stir as the butter melts and the shrimp begin to cook. Season with salt and pepper and add lemon juice and white wine. As the temperature rises, keep a close eye on the shrimp, stirring frequently. Remove with a slotted spoon when the shrimp are pink and slightly curled. Set aside.
Add the peeled favas to the pan and increase the heat to medium-high. Cook until the favas are heated all the way through, then taste for seasoning and adjust. Be sure to taste both the beans and the liquid. Add the radishes to the pan and turn off the heat. Return the shrimp to the pan and toss to combine. Divide the shrimp and fava mixture with the juice among 4 bowls, and garnish with parsley. Serve immediately.",shrimp-and-fava-beans-56389505,33.71
15,Parmesan Toasts,"8 3/4-inch-thick slices Italian bread, 1 medium garlic clove, halved, Extra-virgin olive oil, 1/2 cup finely grated Parmesan cheese, Fleur de sel or course kosher salt","Preheat oven to 400°F. Arrange bread on baking sheet. Rub bread with garlic; drizzle with oil. Sprinkle cheese over. Sprinkle with fleur de sel. Bake until edges are lightly browned, about 12 minutes.",parmesan-toasts-351553,36.33
16,Spiced Rum Punch with Citrus and Luxardo,"1 cup high-proof rum (preferably Smith & Cross), 1 cup spiced rum (preferably Sailor Jerry), 1 cup fresh grapefruit juice, strained, 3/4 cup fresh orange juice, strained, 1/2 cup fresh lemon juice, strained, 1/3 cup Luxardo maraschino liqueur, 1/4 cup simple syrup, ""2 teaspoons Peychauds bitters"", 1 grapefruit, sliced into rounds, 1 blood orange, sliced into rounds, 1 lime, sliced into rounds, 1/4 cup kumquats, sliced into rounds","Fill 2 small freezer-safe shallow containers with 1 1/2"" hot water and freeze until solid to make giant ice cubes, about 4 hours. (The bottoms of clean half-gallon milk cartons work great.)
Combine both rums, grapefruit juice, orange juice, lemon juice, liqueur, simple syrup, and bitters in a punch bowl.
Unmold ice (dip containers in warm water if needed) and add to punch along with citrus slices. Serve punch in 6-ounce glasses filled with ice.
Punch can be mixed 3 hours ahead. Chill.",spiced-rum-punch-with-citrus-and-luxardo,38.37
17,Pink Greens,"1 large bunch beet greens, 2 teaspoons chopped garlic, 1 shallot, chopped, 1/4 teaspoon crushed red pepper flakes, 1 teaspoon olive oil, 1/2 teaspoon coarsely ground black pepper, 2 teaspoons sugar, 1/4 teaspoon salt, 2 teaspoons sherry vinegar","1. Wash and trim the beet greens. If the stems are very thick, it's worth trimming them back a bit.
2. In a large sauté pan over medium heat, sauté the garlic, shallot, and red pepper flakes in the olive oil until slightly browned. Add the black pepper, sugar, and salt.
3. Place the beet greens in the pan, pour 1/4 cup water over them, and immediately cover. Once the greens have cooked down, 1 to 2 minutes, remove the lid and stir. Cook for another 1 to 2 minutes, allowing the water to evaporate.
4. Just before serving, pour the vinegar over the greens. Serve and enjoy!
If you double the amounts as we did, so that it serves 4 people, add vinegar to taste. Twice the amount may be too much. You could use the same technique with spinach, arugula, chard, or any other dark leafy green.
Marissa Grace Desmond and her husband, Ian Kaminski‐Coughlin, live in Cambridge, Massachusetts. Their favorite entertaining tip: ""For dinner parties, we share online spreadsheets with our guests, so everyone can see who has responded. It also makes it much easier to coordinate who is bringing what and whether or not we need more wine!""
Alli51: ""This recipe would work great for various types of Asian greens (which I typically just cook with a bit of oil, kosher salt, and some soy/fish sauce and maybe some chicken broth). This will be much more interesting!""",pink-greens-388629,27.16
18,Blueberry Ginger Granita,"2 tablespoons chopped peeled fresh ginger, 1/2 cup superfine granulated sugar, 3/4 pounds blueberries (2 1/2 cups), thawed if frozen, 3/4 cup water, 2 teaspoons fresh lime juice","Finely grind ginger with sugar in a food processor. Add blueberries and purée until smooth. Force purée through a fine sieve into an 8- to 9-inch baking pan, pressing hard on solids (discard solids). Stir in water and lime juice.
Freeze, stirring and crushing lumps with a fork every hour, until evenly frozen, about 4 hours total. Scrape with a fork to lighten texture, crushing any lumps.
Serve immediately or freeze, covered, up to 3 days (rescrape to lighten texture again if necessary).",blueberry-ginger-granita-106540,23.01
19,Turkey and Apricot Meatloaf,"1 cup coarse fresh bread crumbs (from 2 slices white sandwich bread), 1/3 cup whole milk, 2 medium celery ribs, finely chopped, 1 medium carrot, finely chopped, 1 medium onion, finely chopped, 2 garlic cloves, finely chopped, 1 tablespoon ancho chile powder, 1/4 cup extra-virgin olive oil, 2 pound ground dark-meat turkey, 1/2 cup dried California apricots, finely chopped, 1/2 cup chopped flat-leaf parsley, 3 tablespoons apricot preserves, divided, 1 1/2 tablespoons soy sauce, divided, 1 tablespoon Worcestershire sauce, 2 large eggs, lightly beaten, 2 teaspoons water","Preheat oven to 350°F with rack in middle.
Soak bread crumbs in milk in a large bowl.
Meanwhile, cook celery, carrot, onion, and garlic with chile powder and 1/2 teaspoon salt in oil in a large heavy skillet over medium heat, stirring occasionally, until softened, about 10 minutes. Add to bread-crumb mixture with turkey, dried apricots, parsley, 1 tablespoon preserves, 1 tablespoon soy sauce, Worcestershire sauce, eggs, 1 1/4 teaspoon salt, and 1/2 teaspoon pepper and mix with your hands until just combined. Form into a 9- by 5-inch oval loaf (mixture will spread slightly) in a 13- by 9-inch shallow baking dish.
Stir together water, remaining 2 tablespoons preserves, and remaining 1/2 tablespoon soy sauce and brush over surface of meatloaf. Bake until an instant-read thermometer inserted into center registers 165°F, 1 to 1 1/4 hours. Let stand 10 minutes before serving.",turkey-and-apricot-meatloaf-358092,7.48
